Title,AuthorLastName,AuthorFirstName
Fundamentals of Wavelets,Goswami,Jaideva
Data Smart,Foreman,John
God Created the Integers,Hawking,Stephen
Superfreakonomics,Dubner,Stephen
Orientalism,Said,Edward
The Nature of Statistical Learning Theory,Vapnik,Vladimir
Integration of the Indian States,Menon,V. P.
The Drunkard's Walk,Mlodinow,Leonard
Image Processing & Mathematical Morphology,Shih,Frank
How to Think Like Sherlock Holmes,Konnikova,Maria
Data Scientists at Work,Sebastian Gutierrez
Slaughterhouse Five,Vonnegut,Kurt
Birth of a Theorem,Villani,Cedric
Structure & Interpretation of Computer Programs,Sussman,Gerald
The Age of Wrath,Eraly,Abraham
The Trial,Kafka,Frank
Statistical Decision Theory,Pratt,John
Data Mining Handbook,Nisbet,Robert
The New Machiavelli,Wells,H. G.
Physics & Philosophy,Heisenberg,Werner
Making Software,Oram,Andy
Vol I Analysis,Tao,Terence
Machine Learning for Hackers,Conway,Drew
The Signal and the Noise,Silver,Nate
Python for Data Analysis,McKinney,Wes
Introduction to Algorithms,Cormen,Thomas
The Beautiful and the Damned,Deb,Siddhartha
The Outsider,Camus,Albert
The - Vol I Complete Sherlock Holmes,Doyle,Arthur Conan
The - Vol II Complete Sherlock Holmes,Doyle,Arthur Conan
The Wealth of Nations,Smith,Adam
The Pillars of the Earth,Follett,Ken
Mein Kampf,Hitler,Adolf
The Tao of Physics,Capra,Fritjof
Surely You're Joking Mr. Feynman,Feynman,Richard
A Farewell to Arms,Hemingway,Ernest
The Veteran,Forsyth,Frederick
False Impressions,Archer,Jeffery
The Last Lecture,Pausch,Randy
Return of the Primitive,Rand,Ayn
Jurassic Park,Crichton,Michael
A Russian Journal,Steinbeck,John
Tales of Mystery and Imagination,Poe,Edgar Allen
Freakonomics,Dubner,Stephen
The Hidden Connections,Capra,Fritjof
The Story of Philosophy,Durant,Will
Asami Asami,Deshpande,P. L.
Journal of a Novel,Steinbeck,John
Once There Was a War,Steinbeck,John
The Moon is Down,Steinbeck,John
The Brethren,Grisham,John
In a Free State,Naipaul,V. S.
Catch 22,Heller,Joseph
Complete Mastermind,The,BBC
Dylan on Dylan,Dylan,Bob
Soft Computing & Intelligent Systems,Gupta,Madan
Textbook of Economic Theory,Stonier,Alfred
Econometric Analysis,Greene,W. H.
Learning OpenCV,Bradsky,Gary
Data Structures Using C & C++,Tanenbaum,Andrew
A Modern Approach Computer Vision,Forsyth,David
Principles of Communication Systems,Taub,Schilling
Let Us C,Kanetkar,Yashwant
The Amulet of Samarkand,Stroud,Jonathan
Crime and Punishment,Dostoevsky,Fyodor
Angels & Demons,Brown,Dan
The Argumentative Indian,Sen,Amartya
Sea of Poppies,Ghosh,Amitav
The Idea of Justice,Sen,Amartya
A Raisin in the Sun,Hansberry,Lorraine
All the President's Men,Woodward,Bob
A Prisoner of Birth,Archer,Jeffery
Scoop!,Nayar,Kuldip
Ahe Manohar Tari,Deshpande,Sunita
The Last Mughal,Dalrymple,William
Social Choice & Welfare,Vol 39 No. 1,Various
Radiowaril Bhashane & Shrutika,Deshpande,P. L.
Gun Gayin Awadi,Deshpande,P. L.
Aghal Paghal,Deshpande,P. L.
Maqta-e-Ghalib,Garg,Sanjay
Beyond Degrees
Manasa,Kale,V P
India from Midnight to Milennium,Tharoor,Shashi
World's Greatest Trials,The,
The Great Indian Novel,Tharoor,Shashi
O Jerusalem!,Lapierre,Dominique
The City of Joy,Lapierre,Dominique
Freedom at Midnight,Lapierre,Dominique
The Winter of Our Discontent,Steinbeck,John
On Education,Russell,Bertrand
Free Will,Harris,Sam
Bookless in Baghdad,Tharoor,Shashi
The Case of the Lame Canary,Gardner,Earle Stanley
The Theory of Everything,Hawking,Stephen
New Markets & Other Essays,Drucker,Peter
Electric Universe,Bodanis,David
The Hunchback of Notre Dame,Hugo,Victor
Burning Bright,Steinbeck,John
The Age of Discontuinity,Drucker,Peter
Doctor in the Nude,Gordon,Richard
Down and Out in Paris & London,Orwell,George
Identity & Violence,Sen,Amartya
Beyond the Three Seas,Dalrymple,William
World's Greatest Short Stories,The,
Talking Straight,Iacoca,Lee
Vol 3 Maugham's Collected Short Stories,Maugham,William S
The Phantom of Manhattan,Forsyth,Frederick
Ashenden of The British Agent,Maugham,William S
Zen & The Art of Motorcycle Maintenance,Pirsig,Robert
The Great War for Civilization,Fisk,Robert
We the Living,Rand,Ayn
The Artist and the Mathematician,Aczel,Amir
History of Western Philosophy,Russell,Bertrand
Selected Short Stories
Rationality & Freedom,Sen,Amartya
Clash of Civilizations and Remaking of the World Order,Huntington,Samuel
Uncommon Wisdom,Capra,Fritjof
One,Bach,Richard
Karl Marx Biography
To Sir With Love,Braithwaite
Half A Life,Naipaul,V S
The Discovery of India,Nehru,Jawaharlal
Apulki,Deshpande,P. L.
Unpopular Essays,Russell,Bertrand
The Deceiver,Forsyth,Frederick
Veil: Secret Wars of the CIA,Woodward,Bob
Char Shabda,Deshpande,P. L.
Rosy is My Relative,Durrell,Gerald
The Moon and Sixpence,Maugham,William S
Political Philosophers
A Short History of the World,Wells,H G
The Trembling of a Leaf,Maugham,William S
Doctor on the Brain,Gordon,Richard
Simpsons & Their Mathematical Secrets,Singh,Simon
Pattern Classification,Duda,Hart
From Beirut to Jerusalem,Friedman,Thomas
The Code Book,Singh,Simon
The Age of the Warrior,Fisk,Robert
Final Crisis
The Killing Joke
Flashpoint
Batman Earth One
Crisis on Infinite Earths
The Numbers Behind Numb3rs,Devlin,Keith
Superman Earth One - 1
Superman Earth One - 2
Justice League: Throne of Atlantis
Justice League: The Villain's Journey
The Death of Superman
History of the DC Universe
Batman: The Long Halloween
A Life in Letters,Steinbeck,John
The Information,Gleick,James
Journal of Economics,vol 106 No 3,
Elements of Information Theory,Thomas,Joy
Power Electronics - Rashid,Rashid,Muhammad
Power Electronics - Mohan,Mohan,Ned
Neural Networks,Haykin,Simon
The Grapes of Wrath,Steinbeck,John
Vyakti ani Valli,Deshpande,P. L.
Statistical Learning Theory,Vapnik,Vladimir
Empire of the Mughal - The Tainted Throne,Rutherford,Alex
Empire of the Mughal - Brothers at War,Rutherford,Alex
Empire of the Mughal - Ruler of the World,Rutherford,Alex
Empire of the Mughal - The Serpent's Tooth,Rutherford,Alex
Empire of the Mughal - Raiders from the North,Rutherford,Alex
Mossad,Baz-Zohar,Michael
Jim Corbett Omnibus,Corbett,Jim
20000 Leagues Under the Sea,Verne,Jules
Batatyachi Chal,Deshpande,P. L.
Hafasavnuk,Deshpande,P. L.
Urlasurla,Deshpande,P. L.
Pointers in C,Kanetkar,Yashwant
The Cathedral and the Bazaar,Raymond,Eric
Design with OpAmps,Franco,Sergio
Think Complexity,Downey,Allen
The Devil's Advocate,West,Morris
Ayn Rand Answers,Rand,Ayn
Philosophy: Who Needs It,Rand,Ayn
The World's Great Thinkers
Data Analysis with Open Source Tools,Janert,Phillip
Broca's Brain,Sagan,Carl
Men of Mathematics,Bell,E. T.
Oxford book of Modern Science Writing,Dawkins,Richard
Judiciary and Democracy Justice,Ranjan,Sudhanshu
The Arthashastra,Kautiyla
We the People,Palkhivala
We the Nation,Palkhivala
The Courtroom Genius,Sorabjee
Dongri to Dubai,Zaidi,Hussain
Foundation History of England,Ackroyd,Peter
City of Djinns,Dalrymple,William
India's Legal System,Nariman
More Tears to Cry,Sassoon,Jean
The Ropemaker,Dickinson,Peter
Angels & Demons,Brown,Dan
The Judge
The Attorney
The Prince,Machiavelli
Eyeless in Gaza,Huxley,Aldous
Tales of Beedle the Bard,Rowling,J. K.
Girl with the Dragon Tattoo,Larsson,Steig
Girl who kicked the Hornet's Nest,Larsson,Steig
Girl who played with Fire,Larsson,Steig
Batman Handbook
Murphy's Law
Structure and Randomness,Tao,Terence
Image Processing with MATLAB,Eddins,Steve
Animal Farm,Orwell,George
The Idiot,Dostoevsky,Fyodor
A Christmas Carol,Dickens,Charles
